,Category,Count_Total,Total_views,Sum_ratings
47,Cartoon,69.0,2189094.0,1581.0
48,Cartoons,313.0,86563259.0,0.0
49,Casting,880.0,136090188.0,16313.0
50,Caucasian,8638.0,34899222.0,31879.0
51,Celebrities,1507.0,326948116.0,0.0
52,Celebrity,650.0,171151128.0,27923.0
53,Censored,203.0,132016.0,461.0
54,Chinese,97.0,1151763.0,0.0
55,Chubby,436.0,2751100.0,9695.0
56,Close-ups,1337.0,169680730.0,0.0
57,College,1316.0,359506634.0,46295.0
58,Compilation,4418.0,1592720782.0,186991.0
59,Cosplay,284.0,59371580.0,8754.0
60,Couple,9408.0,71861835.0,230369.0
61,Cream Pie,2116.0,255919836.0,915.0
62,Creampie,2816.0,339012630.0,53423.0
63,Cuckold,1842.0,157658691.0,2272.0
64,Cum Shot,1506.0,3792147.0,8578.0
65,Cum Swap,29.0,50294.0,233.0
66,Cumshots,11865.0,1395226604.0,153545.0
67,Czech,970.0,121034830.0,24408.0
68,Danish,76.0,8828606.0,0.0
69,Deepthroat,93.0,75977.0,180.0
70,Described Video,49.0,9652260.0,1307.0
71,Domination,132.0,451415.0,1031.0
72,Double Penetration,4864.0,604330013.0,116884.0
73,Ebony,5104.0,697097382.0,141640.0
74,Emo,93.0,7330470.0,0.0
75,Euro,6018.0,1009011300.0,232912.0
76,Exclusive,5228.0,438978350.0,65930.0
77,Face Sitting,277.0,33101883.0,0.0
78,Facial,167.0,169528.0,1038.0
79,Facials,2981.0,235182054.0,0.0
80,Fat,137.0,774309.0,846.0
81,Feet,4.0,6607220.0,226.0
82,Femdom,1404.0,128778607.0,1277.0
83,Fetish,5136.0,766772318.0,186038.0
84,Fingering,1499.0,212768141.0,0.0
85,Fisting,630.0,69352165.0,14204.0
86,Flashing,1346.0,240697110.0,0.0
87,Foot Fetish,317.0,38803489.0,0.0
88,Footjob,34.0,47819.0,514.0
89,For Women,2111.0,704385410.0,72140.0
90,French,2709.0,339511012.0,22327.0
91,Funny,1544.0,236863609.0,12714.0
92,Gagging,26.0,23374.0,248.0
93,Gangbang,4217.0,568625857.0,95316.0
94,Gaping,278.0,15840579.0,0.0
95,Gay,1889.0,6338458.0,57309.0
96,Gay Couple,768.0,4220834.0,5652.0
97,Gay Group Sex,212.0,331610.0,723.0
98,Gays,2086.0,390290067.0,0.0
99,German,4870.0,546753042.0,41821.0
100,Glamour,593.0,773222.0,2489.0
101,Glasses,23.0,5200.0,68.0
102,Glory Hole,23.0,90410.0,276.0
103,Gothic,37.0,1362178.0,0.0
104,Grannies,2987.0,618556395.0,0.0
105,Granny,45.0,416594.0,651.0
106,Group Sex,5838.0,598932910.0,11224.0
107,HD,52368.0,8166962857.0,1475456.0
108,Hairy,3896.0,645527496.0,371.0
109,Handjob,1323.0,142820928.0,34285.0
110,Handjobs,2231.0,166276761.0,0.0
111,Hardcore,28199.0,3044719741.0,490655.0
112,Hentai,283.0,11517293.0,1134.0
113,Hidden Cams,3365.0,306632754.0,0.0
114,High Heels,249.0,3426544.0,228.0
115,Hospital,14.0,59461.0,70.0
116,Indian,2049.0,290035599.0,33447.0
117,Interracial,9615.0,607413102.0,115739.0
118,Italian,1449.0,191729254.0,10413.0
119,Japanese,7682.0,713562734.0,91293.0
120,Kissing,116.0,296608.0,975.0
121,Korean,723.0,89437273.0,15625.0
122,Ladyboys,280.0,66970330.0,0.0
123,Latex,174.0,3574195.0,163.0
124,Latin,1397.0,43523633.0,882.0
125,Latina,3758.0,556877070.0,113487.0
126,Lesbian,8677.0,665633661.0,186039.0
127,Lesbians,5693.0,867370299.0,0.0
128,Licking Vagina,140.0,57488.0,81.0
129,Lingerie,603.0,39765008.0,536.0
130,MILF,13391.0,2532040193.0,483471.0
131,MILFs,6871.0,162549613.0,0.0
132,Massage,2803.0,423241508.0,49399.0
133,Masturbation,16183.0,850385414.0,252273.0
134,Mature,3638.0,762105740.0,129139.0
135,Matures,18869.0,1762897338.0,0.0
136,Men,1993.0,315345021.0,0.0
137,Midgets,123.0,6894410.0,0.0
138,Muscular,52.0,368970.0,461.0
139,Music,613.0,99463820.0,11671.0
140,Nipples,850.0,26784258.0,0.0
141,None,59096.0,1208094393.0,1204151.0
142,Office,32.0,289205.0,310.0
143,Old+Young,5076.0,160211200.0,0.0
144,Old/Young,876.0,163816670.0,27546.0
145,Oral Sex,495.0,12349.0,70.0
146,Orgy,6530.0,827138580.0,152073.0
147,Outdoor,146.0,742004.0,1168.0
148,POV,13215.0,3147265198.0,442329.0
149,Pantyhose,12.0,4654.0,52.0
150,Parody,304.0,41268330.0,6196.0
151,Party,1625.0,386656755.0,50336.0
152,Peeing,122.0,1130664.0,2676.0
153,Pissing,732.0,40458760.0,11065.0
154,Pornstar,52658.0,12203190947.0,1658114.0
155,Pornstars,4427.0,105099430.0,0.0
156,Pregnant,5.0,46297.0,73.0
157,Public,4858.0,881862092.0,218924.0
158,Public Nudity,3666.0,76970549.0,0.0
159,Pussy Licking,1555.0,430397360.0,59140.0
160,Reality,6742.0,1647470880.0,182497.0
161,Red Head,3915.0,579825130.0,109767.0
162,Redhead,94.0,7061.0,62.0
163,Redheads,1006.0,9576023.0,0.0
164,Rimming,6.0,146340.0,79.0
165,Romantic,55.0,14300.0,79.0
166,Rough Sex,5519.0,1231954080.0,174379.0
167,Russian,2226.0,147612572.0,26897.0
168,School,723.0,191431412.0,22005.0
169,Sex Toys,2190.0,16286446.0,0.0
170,Shaved,147.0,89187.0,395.0
171,Shemale,2.0,266310.0,141.0
172,Shemales,1843.0,533922982.0,0.0
173,Showers,416.0,5138865.0,0.0
174,Skinny,51.0,28397.0,272.0
175,Small Tits,11565.0,2010403033.0,412900.0
176,Smoking,640.0,24779600.0,15515.0
177,Softcore,581.0,8687496.0,0.0
178,Solo Gay,228.0,251588.0,399.0
179,Solo Girl,2149.0,6828871.0,51833.0
180,Solo Male,400.0,1194265.0,8778.0
181,Spanking,460.0,10983565.0,84.0
182,Spycam,81.0,1213.0,0.0
183,Squirt,2716.0,603194900.0,62750.0
184,Squirting,1023.0,10273023.0,82.0
185,Stockings,2852.0,22777662.0,101.0
186,Strapon,603.0,3522401.0,0.0
187,Striptease,2349.0,192388881.0,70683.0
188,Swedish,80.0,2750993.0,0.0
189,Swingers,758.0,8933370.0,0.0
190,Tattoos,35.0,845824.0,80.0
191,Teen,30117.0,4627241275.0,905860.0
192,Teens,12504.0,184953562.0,0.0
193,Thai,183.0,3409019.0,0.0
194,Threesome,12131.0,2350234613.0,461323.0
195,Threesomes,1850.0,5986059.0,0.0
196,Tits,3313.0,16417492.0,0.0
197,Toys,8620.0,505508747.0,193404.0
198,Transgender,338.0,1944238.0,9882.0
199,Turkish,543.0,11628267.0,0.0
200,Uniforms,1903.0,299284510.0,57983.0
201,Upskirts,933.0,31339622.0,0.0
202,Vaginal Sex,196.0,72649.0,292.0
203,Verified Amateurs,4361.0,330399450.0,99539.0
204,Vintage,6913.0,454352614.0,43461.0
205,Virtual Reality,109.0,25475140.0,2768.0
206,Voyeur,2235.0,10843851.0,0.0
207,Wanking,42.0,40983.0,152.0
208,Webcam,4951.0,627107338.0,171361.0
209,Webcams,1976.0,30063968.0,0.0
210,Bear,1.0,,
211,Cougar,1.0,,
212,Cowgirl,2.0,,
213,Fake Tits,25.0,,
214,Female Orgasm,13.0,,
215,Gym,27.0,,
216,Hunks,4.0,,
217,Maid,6.0,,
218,Midget,3.0,,
219,Natural Tits,27.0,,
220,Nurse,4.0,,
221,Piercings,27.0,,
222,Pool,11.0,,
223,Secretary,4.0,,
224,Spectacular,6.0,,
225,Straight,15.0,,
226,Strap-on,9.0,,
227,Swallow,9.0,,
228,Toilet,3.0,,
229,Tribbing,5.0,,
230,Twink,2.0,,
231,Uniform,14.0,,
232,Vaginal Masturbation,72.0,,
233,Doctor,2.0,,
234,Doggy Style,1.0,,
235,Facesitting,1.0,,
236,Homemade,1.0,,
237,Oriental,5.0,,
238,Police,2.0,,
239,Trimmed,3.0,,
240,Young & Old,1.0,,
